KEY,Value
About,Über
AboutSoftware,Über das Programm
Add,Hinzufügen
AddMacAdress,Verwenden Sie die MAC-Adresse als Unterverzeichnis
AdvencedSettings,Erweiterte Einstellungen
AlwaysonTop,Fenster i. Vordergrund 
AnalogDisplatONStart,Analoganzeige beim Start öffnen
AnalogDisplay,Analoge Anzeige
AskBeforeConnect,Nachfragen; vor dem Verbinden
AutoConnectKnown,Bekannte Geräte beim Start automatisch verbinden
AutoRange,Auto-Range
AvailableString,Eines Ihrer Geräte ist zum Verbinden verfügbar.
ChangeName,Gerätenamen ändern
ChartON,Datendiagramm beim Start öffnen
ClearChart,Diagramm löschen
ClientID,Kunden ID :
Connect,Verbinden
Connected,Verbunden
ConnectToDevice,Mit Gerät verbinden
CreatedBy,Erstellt von
CSVFirst,Legen Sie CSV als Standard für den Export fest
DataChart,Datendiagramm
DeviceManager,Geräte verwalten
DevicePicker,Geräteauswahl
Disconnected,getrennt
DontAsk,Ohne Nachfrage automatisch verbinden
DontConnect,Nicht verbinden
EnableMQTT,MQTT-Client aktivieren
Encrypted,Verschlüsselt
ExportData,Daten exportieren
ImportData,Daten importieren
InRush,Einschaltstrom 
IsAvailable,ist verfügbar!
Language,Sprache
ListAvailDevices,Liste der verfügbaren Geräte:
LogRaw,Rohdaten protokollieren
ManageDevices,Bluetooth-Geräte verwalten
ManageKnown,Bekannte Geräte verwalten
Max,MAX
Menu,MENÜ
Min,MİN
MinimizeToTray,Programm minimieren
MQTTAdress,Adresse des MQTT-Servers:
MQTTDataFormat,Format der MQTT-Datenwerte
MQTTSettings,MQTT-Einstellungen
Name,Name:
NotConnected,Nicht verbunden
Ok,Ok
Password,Passwort :
Peek,SPİTZE
Port,Hafen :
Reconnect,Automatisch Wiederverbinden nach Trennung
Remove,Entfernen
RemoveAll,Alle Geräte entfernen
RemoveDevice,Gerät entfernen
ResetView,Ansicht zurücksetzen
RunStartup,Beim Windows-Start ausführen
SampleOutput,Beispielausgabe:
Save,Speichern
SavePosition,Fensterposition und -größe speichern
SearchingDevices,Suche nach Bluetooth-Geräten...
Settings,Einstellungen
StartupSettings,Starteinstellungen
TargetTopic,Zielthema:
TrueRMS,TrueRMS
UseLogin,Anmeldung verwenden
UserName,Nutzername :
Values,Werte
Version,Version
WantToConnect,Möchten Sie sich verbinden?
ZoomandFitData,Ansicht einpassen
