KEY,Value
About,Di
AboutSoftware,A proposito di software
Add,Aggiungere
AddMacAdress,Usa l'indirizzo MAC come sottodirectory
AdvencedSettings,Impostazioni avanzate
AlwaysonTop,Sempre in cima
AnalogDisplatONStart,Aprire il display analogico all'avvio
AnalogDisplay,Display analogico
AskBeforeConnect,Chiedi prima di connetterti
AutoConnectKnown,Connetti automaticamente i dispositivi noti all'avvio
AutoRange,Intervallo automatico
AvailableString,Uno dei tuoi dispositivi è disponibile per la connessione.
ChangeLog,Registro modifiche
ChangeName,Cambia nome dispositivo
ChartON,Apri il grafico dei dati all'avvio
CheckUpdates,Controlla Aggiornamenti
CheckUpdatesStartup,Controlla Aggiornamenti all'avvio
CleanWhitespace,Pulisci gli spazi bianchi (spazi non necessari) in Value(string)
ClearChart,Cancella grafico
ClientID,Identificativo cliente :
Connect,Collegare
Connected,collegato
ConnectToDevice,Connetti al dispositivo
CreatedBy,Creato da
CSVFirst,Imposta CSV come predefinito per Esporta
CurrentVersion,Versione attuale
DataChart,Grafico dei dati
DeviceManager,Gestisci dispositivi
DevicePicker,Selezione dispositivo
Disconnected,disconnesso
DontAsk,Non chiedere di nuovo. Connetti automaticamente.
DontConnect,Non connetterti
DownloadLinks,Link per il download:
EnableMQTT,Abilita client MQTT
Encrypted,Crittografato
ErrorGettingData,Errore durante il recupero dei dati...
ExportData,Esporta dati
GeneralSettings,impostazioni generali
Help,Aiuto
ImportData,Importa dati
InRush,INRUSH
IsAvailable,è disponibile!
Language,Lingua
LatestVersion,Ultima versione
ListAvailDevices,Elenco dei dispositivi disponibili:
LogRaw,Registra dati grezzi
ManageDevices,Gestisci dispositivi Bluetooth
ManageKnown,Gestisci i dispositivi conosciuti
Max,MASSIMO
Menu,MENÙ
Min,MIN
MinimizeToTray,Riduci sempre a icona nel vassoio
MQTTAdress,Indirizzo del server MQTT:
MQTTDataFormat,Formato valori dati MQTT
MQTTSettings,Impostazioni MQTT
Name,Nome:
NewVersionAvail,Nuova versione disponibile!
NotConnected,Non collegata
NoUpdatesAvail,Congratulazioni! Hai l'ultima versione.
Ok,OK
Password,Parola d'ordine :
Peek,SBIRCIARE
Port,Porto:
Reconnect,Riconnessione automatica dopo la disconnessione
Remove,Rimuovere
RemoveAll,Rimuovi tutti i dispositivi
RemoveDevice,Rimuovi dispositivo
ResetView,Ripristina vista
RunStartup,Esegui all'avvio di Windows
SampleOutput,Esempio di output:
Save,Salva
SavePosition,Salva posizione e dimensione della finestra
SearchingDevices,Ricerca di dispositivi Bluetooth...
Settings,Impostazioni
StartupSettings,Impostazioni di avvio
TargetTopic,Argomento di destinazione:
TrueRMS,VERO RMS
Updates,Aggiornamenti
UseComa,Usa Coma "," invece di Punto "." in Valore(stringa)
UseLogin,Usa Accesso
UserName,Nome utente:
Values,I valori
Version,Versione:
View,Visualizzazione
ViewSettings,Visualizza impostazioni
WantToConnect,Vuoi Connetterti?
ZoomandFitData,Ingrandisci e adatta i dati
