KEY,Value
About,О
AboutSoftware,О программном обеспечении
Add,Добавлять
AddMacAdress,Использовать MAC-адрес в качестве подкаталога
AdvencedSettings,Расширенные настройки
AlwaysonTop,Всегда на вершине
AnalogDisplatONStart,Открыть аналоговый дисплей при запуске
AnalogDisplay,Аналоговый дисплей
AskBeforeConnect,Спросите перед подключением
AutoConnectKnown,Автоматическое подключение известных устройств при запуске
AutoRange,Автоматический диапазон
AvailableString,Одно из ваших устройств доступно для подключения.
ChangeLog,Журнал изменений
ChangeName,Изменить имя устройства
ChartON,Диаграмма открытых данных при запуске
CheckUpdates,Проверить обновления
CheckUpdatesStartup,Проверять обновления при запуске
CleanWhitespace,Очистить пробелы (ненужные пробелы) в Value(string)
ClearChart,Очистить диаграмму
ClientID,ID клиента :
Connect,Соединять
Connected,связано
ConnectToDevice,Подключиться к устройству
CreatedBy,Сделано
CSVFirst,Установите CSV по умолчанию для экспорта
CurrentVersion,Текущая версия
DataChart,Диаграмма данных
DeviceManager,Управление устройствами
DevicePicker,Выбор устройства
Disconnected,отключен
DontAsk,Не спрашивайте снова. Подключаться автоматически.
DontConnect,Не подключать
DownloadLinks,Ссылки для скачивания:
EnableMQTT,Включить MQTT-клиент
Encrypted,Зашифровано
ErrorGettingData,Ошибка при получении данных...
ExportData,Экспорт данных
GeneralSettings,общие настройки
Help,Помощь
ImportData,Импорт данных
InRush,НАГРУЗКА
IsAvailable,доступен!
Language,Язык
LatestVersion,Последняя версия
ListAvailDevices,Список доступных устройств:
LogRaw,Лог необработанных данных
ManageDevices,Управление Bluetooth-устройствами
ManageKnown,Управление известными устройствами
Max,МАКСИМУМ
Menu,МЕНЮ
Min,МИН.
MinimizeToTray,Всегда сворачивать в трей
MQTTAdress,Адрес MQTT-сервера:
MQTTDataFormat,Формат значений данных MQTT
MQTTSettings,Настройки MQTT
Name,Имя:
NewVersionAvail,Доступна новая версия!
NotConnected,Не подключен
NoUpdatesAvail,Поздравляем! У вас последняя версия.
Ok,ХОРОШО
Password,Пароль :
Peek,PEEK
Port,Порт:
Reconnect,Автоматическое повторное подключение после отключения
Remove,Удалять
RemoveAll,Удалить все устройства
RemoveDevice,Удалить устройство
ResetView,Сбросить вид
RunStartup,Запуск при запуске Windows
SampleOutput,Пример вывода:
Save,Сохранять
SavePosition,Сохранить положение и размер окна
SearchingDevices,Поиск устройств Bluetooth...
Settings,Настройки
StartupSettings,Параметры запуска
TargetTopic,Целевая тема:
TrueRMS,ИСТИННОЕ СКЗ
Updates,Обновления
UseComa,Используйте запятую "," вместо точки "." в значении (строка)
UseLogin,Использовать логин
UserName,Имя пользователя :
Values,Ценности
Version,Версия:
View,Вид
ViewSettings,Просмотр настроек
WantToConnect,Вы хотите подключиться?
ZoomandFitData,Масштабирование и подгонка данных
