KEY,Value
About,Hakkında
AboutSoftware,Yazılım Hakkında
AdvencedSettings,Gelişmiş Ayarlar
AlwaysonTop,Her zaman üstte
AnalogDisplatONStart,Başlangıçta Analog Göstergeyi Açın
AnalogDisplay,Analog Gösterge
AskBeforeConnect,Bağlanmadan Önce Sor
AutoConnectKnown,Başlangıçta Bilinen Cihazları Otomatik Olarak Bağlan
AutoRange,Otomatik Aralık
AvailableString,Cihazlarınızdan biri bağlanmak için müsait.
ChangeName,Cihaz Adını Değiştir
ChartON,Başlangıçta Veri Grafiği'ni Aç
Connect,Bağlan
Connected,Bağlandı
ConnectToDevice,Cihaza Bağlan
CreatedBy,Tarafından yaratıldı
DataChart,Veri Grafiği
DeviceManager,Cihazları Yönet
DevicePicker,Cihaz Seçici
DisConnected,Bağlantı Koptu
DontAsk,Bir daha sorma. Otomatik Olarak Bağlan.
DontConnect,Bağlanma
ExportData,Verileri Dışa Aktar
ImportData,Verileri İçe Aktar
InRush,HAREKET
IsAvailable, müsait!
Language,Dil
ListAvailDevices,Kullanılabilir Cihazların Listesi:
LogRaw,Ham Verileri Günlüğe Kaydet
ManageDevices,Bluetooth Cihazlarını Yönet
ManageKnown,Bilinen Cihazları Yönetin
Max,MAKS
Menu,MENÜ
Min,MIN
MinimizeToTray,Daima Tepsiye Küçült
Name,Ad:
NotConnected,Bağlı değil
Ok,TAMAM
Peek,TEPE
Reconnect,Bağlantı Kesildikten Sonra Otomatik Olarak Yeniden Bağlan
RemoveAll,Tüm Cihazları Kaldır
RemoveDevice,Aygıtı kaldır
ResetView,Görünümü Sıfırla
RunStartup,Windows başlangıcında çalıştır
Save,Kaydet
SavePosition,Pencere Konumunu ve Boyutunu Kaydet
SearchingDevices,Bluetooth Cihazları aranıyor...
Settings,Ayarlar
StartupSettings,Başlangıç ​​Ayarları
TrueRMS,DOĞRU RMS
Version,Sürüm :
WantToConnect,Bağlanmak istiyor musunuz?
ZoomandFitData,Yakınlaştır ve Verileri Sığdır


