KEY,Value
About,关于
AboutSoftware,关于软件
Add,添加
AddMacAdress,使用 MAC 地址作为子目录
AdvencedSettings,高级设置
AlwaysonTop,总在最前面
AnalogDisplatONStart,启动时打开模拟显示
AnalogDisplay,模拟显示
AskBeforeConnect,连接前询问
AutoConnectKnown,启动时自动连接已知设备
AutoRange,自动量程
AvailableString,您的设备之一可以连接。
ChangeName,更改设备名称
ChartON,启动时打开数据图表
CleanWhitespace,清除值（字符串）中的空格（不必要的空格）
ClearChart,清除图表
ClientID,客户编号：
Connect,连接
Connected,连接的
ConnectToDevice,连接到设备
CreatedBy,由...制作
CSVFirst,将 CSV 设置为默认导出
DataChart,数据图表
DeviceManager,管理设备
DevicePicker,设备选择器
Disconnected,断开连接
DontAsk,不要再问了。自动连接。
DontConnect,不要连接
EnableMQTT,启用 MQTT 客户端
Encrypted,加密
ExportData,导出数据
Help,帮助
ImportData,导入数据
InRush,浪涌
IsAvailable,可用！
Language,语
ListAvailDevices,可用设备列表：
LogRaw,记录原始数据
ManageDevices,管理蓝牙设备
ManageKnown,管理已知设备
Max,最大限度
Menu,菜单
Min,最小
MinimizeToTray,始终最小化到托盘
MQTTAdress,MQTT 服务器地址：
MQTTDataFormat,MQTT 数据值格式
MQTTSettings,MQTT 设置
Name,姓名：
NotConnected,未连接
Ok,好的
Password,密码 ：
Peek,窥视
Port,港口 ：
Reconnect,断线后自动重连
Remove,消除
RemoveAll,删除所有设备
RemoveDevice,删除设备
ResetView,重置视图
RunStartup,在 Windows 启动时运行
SampleOutput,样本输出：
Save,节省
SavePosition,保存窗口位置和大小
SearchingDevices,正在搜索蓝牙设备...
Settings,设置
StartupSettings,启动设置
TargetTopic,目标主题：
TrueRMS,真有效值
UseComa,使用昏迷“，”而不是点“。”在值（字符串）
UseLogin,使用登录
UserName,用户名 ：
Values,价值观
Version,版本 ：
View,看法
WantToConnect,你想连接吗？
ZoomandFitData,缩放和拟合数据
